"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"AbstractMapDecorator.java-JOD-2","JOD","live","25","0"
"PredicatedSortedMap.java-IHI-2","IHI","killed","25","2"
"PredicatedMap.java-IPC-2","IPC","killed","25","23"
"AbstractMapDecorator.java-JDC-1","JDC","killed","25","23"
"PredicatedMap.java-IOD-1","IOD","live","25","0"
"PredicatedSortedMap.java-IHI-1","IHI","live","25","0"
"PredicatedSortedMap.java-IOH-2","IOH","live","25","0"
"PredicatedSortedMap.java-IOH-3","IOH","live","25","0"
"PredicatedSortedMap.java-IOH-4","IOH","killed","25","3"
"PredicatedSortedMap.java-IOH-5","IOH","killed","25","3"
"PredicatedMap.java-IOD-2","IOD","live","25","0"
"PredicatedSortedMap.java-IOH-1","IOH","killed","25","1"
"PredicatedSortedMap.java-IOH-6","IOH","live","25","0"
"PredicatedMap.java-IPC-1","IPC","killed","25","23"
"AbstractMapDecorator.java-JOD-1","JOD","live","25","0"
"PredicatedMap.java-IOD-3","IOD","live","25","0"
"PredicatedSortedMap.java-IOH-7","IOH","live","25","0"
